1.000000,0.002000
0.999950,0.014000
0.999800,0.025999
0.999550,0.037996
0.999200,0.049989
0.998750,0.061979
0.998201,0.073964
0.997551,0.085943
0.996802,0.097915
0.995953,0.109879
0.995004,0.121833
0.993956,0.133778
0.992809,0.145712
0.991562,0.157634
0.990216,0.169543
0.988771,0.181438
0.987227,0.193318
0.985585,0.205182
0.983844,0.217030
0.982004,0.228859
0.980067,0.240669
0.978031,0.252460
0.975897,0.264230
0.973666,0.275978
0.971338,0.287703
0.968912,0.299404
0.966390,0.311081
0.963771,0.322731
0.961055,0.334356
0.958244,0.345952
0.955336,0.357520
0.952334,0.369059
0.949235,0.380567
0.946042,0.392043
0.942755,0.403487
0.939373,0.414898
0.935897,0.426274
0.932327,0.437615
0.928665,0.448920
0.924909,0.460188
0.921061,0.471418
0.917121,0.482609
0.913089,0.493760
0.908966,0.504871
0.904752,0.515939
0.900447,0.526966
0.896052,0.537948
0.891568,0.548886
0.886995,0.559779
0.882333,0.570626
0.877583,0.581426
0.872745,0.592177
0.867819,0.602880
0.862807,0.613533
0.857709,0.624136
0.852525,0.634687
0.847255,0.645186
0.841901,0.655632
0.836463,0.666024
0.830941,0.676361
0.825336,0.686642
0.819648,0.696867
0.813878,0.707035
0.808028,0.717145
0.802096,0.727195
0.796084,0.737186
0.789992,0.747117
0.783822,0.756986
0.777573,0.766793
0.771246,0.776537
0.764842,0.786218
0.758362,0.795834
0.751806,0.805385
0.745174,0.814870
0.738469,0.824288
0.731689,0.833639
0.724836,0.842921
0.717911,0.852135
0.710914,0.861279
0.703845,0.870353
0.696707,0.879356
0.689498,0.888287
0.682221,0.897146
0.674876,0.905931
0.667463,0.914643
0.659983,0.923280
0.652437,0.931843
0.644827,0.940329
0.637151,0.948739
0.629412,0.957072
0.621610,0.965327
0.613746,0.973504
0.605820,0.981602
0.597834,0.989620
0.589788,0.997558
0.581683,1.005416
0.573520,1.013192
0.565300,1.020886
0.557023,1.028497
0.548690,1.036026
0.540302,1.043471
0.531861,1.050832
0.523366,1.058108
0.514819,1.065299
0.506220,1.072404
0.497571,1.079423
0.488872,1.086355
0.480124,1.093201
0.471328,1.099958
0.462485,1.106627
0.453596,1.113207
0.444662,1.119699
0.435682,1.126100
0.426660,1.132412
0.417595,1.138633
0.408487,1.144764
0.399340,1.150803
0.390152,1.156751
0.380925,1.162606
0.371660,1.168369
0.362358,1.174039
0.353019,1.179616
0.343646,1.185099
0.334238,1.190489
0.324796,1.195784
0.315322,1.200985
0.305817,1.206090
0.296281,1.211101
